"QID","QTYPE","ANSWER"
"D083Q02","進階題","2019年9月16日上午7點多;2019年9月16日上午7點"
"D083Q03","基礎題","吳姓駕駛"
"D083Q04","基礎題","大貨車"
"D083Q07","基礎題","彰化伸港;彰化;伸港"
"D083Q08","基礎題","五股"
"D083Q09","進階題","否"
"D083Q10","基礎題","布料;布"
"D085Q01","基礎題","40國;40個;40"
"D085Q03","基礎題","DEGA-16"
"D085Q04","基礎題","Poultry Vision"
"D085Q05","基礎題","比利時"
"D085Q06","基礎題","Poultry Vision"
"D085Q07","進階題","ChickFriend與Poultry Vision"
"D085Q08","進階題","4個"
"D086Q01","基礎題","熱，電，輻射與化學能"
"D086Q02","基礎題","不可再生能源與再生能源"
"D086Q04","進階題","否"
"D086Q05","進階題","否"
"D086Q06","進階題","否"
"D086Q07","進階題","否"
"D086Q03","申論",""
"D087Q01","基礎題","屏東縣"
"D087Q02","進階題","2019年10月5號;2019年10月5日"
"D087Q04","進階題","將軍之屋（勝利星村）、演武場、台糖縣民公園紙漿廠、萬年溪景觀橋及屏東火車站;勝利星村、演武場、台糖縣民公園紙漿廠、萬年溪景觀橋及屏東火車站;將軍之屋、演武場、台糖縣民公園紙漿廠、萬年溪景觀橋及屏東火車站"
"D087Q05","進階題","否"
"D087Q06","進階題","屏東火車站"
"D087Q07","進階題","14:30"
"D087Q08","進階題","19:30"
"D088Q02","基礎題","是"
"D088Q03","基礎題","否;不一定"
"D088Q05","進階題","稻糠、稻秣、稻草、麥梗、稻糠、木薯、木材、廢水和廚餘"
"D088Q06","進階題","玉米、黃豆、木薯、亞麻籽和油菜籽"
"D088Q07","進階題","甘蔗和椰子"
"D088Q08","基礎題","玉米酒精"
"D089Q01","進階題","社群媒體"
"D089Q02","進階題","傳統媒體"
"D089Q03","進階題","社群媒體"
"D089Q04","進階題","傳統媒體"
"D089Q05","進階題","社群媒體"
"D090Q01","基礎題","100奈米以下"
"D090Q02","基礎題","銅"
"D090Q03","基礎題","金"
"D090Q04","基礎題","矽"
"D090Q05","基礎題","理察·費曼"
"D090Q06","基礎題","谷口紀男"
"D090Q07","基礎題","1981年"
"D090Q08","基礎題","掃描隧道顯微鏡"
"D090Q09","基礎題","奈米結晶銀與奈米結晶鈦"
"D090Q10","基礎題","奈米結晶銀"
"D090Q11","基礎題","奈米結晶鈦"
"D091Q02","基礎題","妻子"
"D091Q03","基礎題","丈夫"
"D091Q04","基礎題","妻子"
"D091Q05","基礎題","叔父;叔叔"
"D091Q06","基礎題","叔父;叔叔"
"D091Q07","基礎題","叔母;嬸嬸"
"D091Q08","進階題","資訊不足無法判定"
"D091Q09","進階題","資訊不足無法判定"
"D091Q10","進階題","資訊不足無法判定"
"D091Q12","基礎題","岳祖母;奶奶"
"D092Q02","進階題","繁體字、傳承字、正體中文、繁體中文、傳統中文、正體字、原體字及深筆字"
"D092Q03","基礎題","1997年7月1日;1997年"
"D092Q04","基礎題","1997年"
"D092Q05","進階題","23年;22年"
"D092Q06","基礎題","1999年12月20日;1999年"
"D092Q07","基礎題","1999年"
"D092Q08","進階題","21年;20年"
"D092Q09","進階題","1964年"
"D092Q10","基礎題","繁體字"
"D092Q11","基礎題","繁體字"
"D092Q12","基礎題","簡體字;簡體中文"
"D093Q01","基礎題","中華人民共和國"
"D093Q02","基礎題","中國文字改革委員會"
"D093Q03","基礎題","2,274個"
"D093Q04","進階題","中華人民共和國、新加坡及馬來西亞"
"D093Q05","基礎題","1964年"
"D093Q07","基礎題","繁體;繁體字;傳承字;正體字;原體字;深筆字"
"D094Q02","基礎題","劉俠"
"D094Q03","基礎題","1982年"
"D094Q05","基礎題","35年"
"D094Q06","進階題","20%;百分之二十"
"D094Q01","申論",""
"D095Q01","基礎題","Pocket Monsters"
"D095Q02","進階題","口袋妖怪、口袋怪獸、神奇寶貝、精靈寶可夢及寶可夢"
"D095Q03","基礎題","1995年"
"D095Q04","基礎題","825種"
"D095Q06","基礎題","《精靈寶可夢 紅·綠》;精靈寶可夢 紅·綠"
"D095Q07","基礎題","田尻智"
"D096Q01","基礎題","Pikachu"
"D096Q02","基礎題","其名字由日文中光線的狀聲詞「Pika」（ピカ）、以及老鼠的叫聲「啾啾」（チュウ）組合而成。"
"D096Q04","基礎題","6.0 kg;6.0公斤;6公斤;6.0kg;6kg"
"D096Q06","基礎題","827個"
"D096Q07","基礎題","皮卡丘"
"D097Q01","基礎題","瑞典化學家阿佛烈·諾貝爾;阿佛烈·諾貝爾;諾貝爾"
"D097Q02","基礎題","五個"
"D097Q04","基礎題","1833年"
"D097Q05","基礎題","1896年"
"D097Q06","基礎題","63歲"
"D097Q07","基礎題","9月"
"D097Q08","基礎題","10月"
"D100Q01","基礎題"," 10月3號"
"D100Q03","基礎題","四天"
"D100Q04","基礎題","新北大都會公園"
"D100Q05","基礎題","新北市"
"D100Q06","基礎題","飛天螳螂、三蜜蜂、走路草及蚊香蝌蚪"
"D100Q07","進階題","機場捷運或臺北捷運中和新蘆線或公車;機場捷運、臺北捷運中和新蘆線或公車"
"D103Q01","基礎題","2009年"
"D103Q03","基礎題","2009年4月21日"
"D103Q04","基礎題","2009年5月20日"
"D103Q05","基礎題","844人"
"D103Q06","基礎題","35人"
"D103Q08","進階題","否"
"D103Q07","申論",""
"D104Q02","進階題","2009年6月7日"
"D104Q04","基礎題","一名39歲的男子"
"D104Q05","基礎題","2009年7月30日"
"D104Q06","基礎題","2009年5月1日"
"D105Q01","基礎題","1995年"
"D105Q02","進階題","民國84年;84年"
"D105Q04","進階題","24年"
"D105Q05","基礎題","軍人保險（軍保）、公教人員保險（公保）、勞工保險（勞保）、農民健康保險（農保）及保險業各自承保的健康保險;軍人保險、公教人員保險、勞工保險、農民健康保險及保險業各自承保的健康保險;軍保、公保、勞保、農保及保險業各自承保的健康保險"
"D105Q06","基礎題","軍保"
"D105Q07","基礎題","公保"
"D105Q08","基礎題","勞保"
"D105Q09","基礎題","農保"
"D105Q10","基礎題","1988年"
"D106Q01","基礎題","2003年"
"D106Q02","基礎題","局長"
"D106Q03","基礎題","衛生福利部中央健康保險署;健保署"
"D106Q05","基礎題","是"
"D106Q06","進階題","否"
"D106Q07","基礎題","2013年"
"D106Q08","基礎題","健保卡或自然人憑證;健保卡;自然人憑證"
"D107Q02","進階題","德國社會保險制、英國公醫制及美國自由市場"
"D107Q03","基礎題","社會保險制"
"D107Q04","基礎題","政府、僱主及民眾"
"D107Q05","基礎題","政府編列預算;政府"
"D107Q06","基礎題","民營的醫療保險公司"
"D107Q07","進階題","自由市場"
"D107Q08","進階題","公醫制"
"D108Q02","基礎題","20歲至40歲"
"D108Q03","進階題","20歲"
"D108Q04","進階題","40歲"
"D108Q05","基礎題","2年內"
"D108Q06","進階題","4000元"
"D108Q07","基礎題","一年"
"D113Q01","進階題","人類越來越長壽及開發中國家生活習慣的改變"
"D113Q02","基礎題","癌症"
"D113Q03","進階題","是"
"D113Q05","基礎題","20%;百分之二十;百分之廿"
"D113Q07","進階題","肺癌、前列腺癌（攝護腺癌）及大腸直腸癌;肺癌、前列腺癌及大腸直腸癌;肺癌、攝護腺癌及大腸直腸癌"
"D113Q08","進階題","乳癌、大腸直腸癌及肺癌"
"D115Q01","進階題","是"
"D115Q03","進階題","β-胡蘿蔔素"
"D115Q04","進階題","β-胡蘿蔔素和肺癌"
"D115Q05","基礎題","否"
"D115Q06","進階題","β-胡蘿蔔素、安慰劑、吸菸者與曾吸菸者"
"D115Q07","進階題","吲哚類與硫代配醣體"
"D115Q08","基礎題","花椰菜、油菜、芥藍菜、雪裡紅、高麗菜、芥菜、大白菜、小白菜、青江菜與白蘿蔔"
"D116Q01","基礎題","是"
"D116Q02","基礎題","是"
"D116Q03","基礎題","吃素"
"D116Q04","基礎題","紅肉、白肉或乳製品;紅肉、白肉與乳製品"
"D116Q05","基礎題","否"
"D116Q06","基礎題","是"
"D116Q07","基礎題","是"
"D116Q08","基礎題","否"
"D116Q09","進階題","資訊不足無法判定"
"D117Q01","進階題","四期;4期"
"D117Q02","基礎題","第一期"
"D117Q03","基礎題","第四期"
"D117Q04","基礎題","腫瘤產生的部位、腫瘤的大小以及數目、淋巴結是否被侵入以及週邊淋巴結被侵入的情形與遠端轉移的發生與否"
"D117Q05","進階題","否"
"D117Q06","基礎題","第四期"
"D117Q07","基礎題","美國癌症聯合委員會（American Joint Committee on Cancer，AJCC）;美國癌症聯合委員會;American Joint Committee on Cancer;AJCC"
"D120Q01","基礎題","高雄"
"D120Q04","基礎題","男"
"D120Q05","基礎題","41歲"
"D120Q06","基礎題","白色"
"D120Q07","基礎題","方"
"D120Q08","基礎題","否"
"D127Q01","基礎題","國道五號雪山隧道北向16公里處"
"D127Q02","進階題","否"
"D127Q03","基礎題","首都客運司機"
"D127Q04","基礎題","國警九大隊頭城分隊;國警九大隊"
"D127Q06","進階題","是"
"D127Q07","進階題","油、水、電等機件功能及胎壓、胎紋等狀態"
"D138Q03","基礎題","12月30日"
"D138Q04","基礎題","《詩經》;詩經"
"D138Q05","基礎題","浙江寧波"
"D138Q06","基礎題","舅舅"
"D138Q07","基礎題","姚慶三"
"D138Q08","基礎題","北京大學"
"D160Q01","基礎題","西母;「西母」"
"D160Q02","基礎題","卜辭"
"D160Q03","基礎題","山海經"
"D160Q05","基礎題","農曆三月初三"
"D160Q06","進階題","道教"
"D160Q07","基礎題","崙敦古鳳宮"
"D160Q08","基礎題","花蓮縣"
"D160Q09","基礎題","八尺六吋"
"D179Q01","基礎題","美國波音民航機集團"
"D179Q02","基礎題","1970年"
"D179Q03","基礎題","四部"
"D179Q04","基礎題","經濟，商務和頭等艙"
"D179Q05","基礎題","416人"
"D179Q07","進階題","雙級艙"
"D181Q02","基礎題","約瑟夫·斯萬"
"D181Q03","基礎題","碳化的纖維細絲"
"D181Q04","基礎題","亞歷山卓·伏打"
"D181Q05","基礎題","愛迪生;托馬斯·愛迪生"
"D181Q06","基礎題","愛迪生;托馬斯·愛迪生"
"D182Q01","基礎題","9月24號;2019年9月24號;9月24日;2019年9月24日"
"D182Q02","基礎題","屏東河濱公園"
"D182Q03","基礎題","10月10日;2019年10月10日"
"D182Q04","基礎題","16000發以上;16000發"
"D182Q05","基礎題","42分鐘"
"D182Q06","基礎題","9月24號;2019年9月24號;9月24日;2019年9月24日"
"D182Q07","基礎題","7時;7點"
"D183Q01","基礎題","銀河系"
"D183Q02","基礎題","160萬倍"
"D183Q03","基礎題","300萬年"
"D183Q04","基礎題","25,000光年"
"D210Q01","基礎題","曼哈頓東部42街與萊辛頓大道的交叉口;曼哈頓東部42街與萊辛頓大道"
"D210Q02","基礎題","否"
"D210Q03","基礎題","第三;第3名;第三名"
"D210Q04","基礎題","1,046英尺（319公尺）;1,046英尺;319公尺"
"D211Q01","基礎題","1930年"
"D211Q02","基礎題","威廉‧凡艾倫"
"D211Q05","基礎題","沃爾特·克萊斯勒"
"D211Q04","進階題","川普大樓"
"D211Q03","進階題","川普大樓"
"D214Q01","基礎題","喬治·華盛頓"
"D214Q02","基礎題","華盛頓哥倫比亞特區"
"D214Q03","基礎題","169.3公尺"
"D214Q04","基礎題","1884年"
"D214Q05","進階題","51年"
"D214Q06","基礎題","Washington Monument"
"D215Q01","基礎題","湯瑪斯·傑佛遜;傑佛遜"
"D215Q02","基礎題","第三任;第三;三"
"D215Q03","基礎題","華盛頓哥倫比亞特區"
"D215Q04","基礎題","1943年"
"D215Q06","基礎題","波多馬克河"
"D215Q08","基礎題","Thomas Jefferson Memorial"
"D215Q09","基礎題","1743年"
"D215Q10","基礎題","1826年"
"D215Q11","進階題","83歲"
"D238Q01","進階題","三次"
"D238Q03","進階題","劉姓、陳姓、林姓、李姓、王姓、大雜姓及中莊雜姓;劉姓、陳姓、林姓、李姓及王姓"
"D238Q04","基礎題","清水祖師"
"D238Q05","進階題","1947年"
"D238Q07","進階題","49年"
"D238Q08","基礎題","三峽"
"D241Q01","基礎題","聖伯多祿大殿;Basilica Sancti Petri;Basilica di San Pietro in Vaticano;聖彼得大教堂"
"D241Q02","基礎題","梵蒂岡"
"D241Q03","基礎題","1506年至1626年;1506年;1626年"
"D241Q05","基礎題","天主教"
"D241Q06","基礎題","23,000平方米"
"D241Q07","基礎題","138米"
"D241Q08","進階題","多納托·伯拉孟特、拉斐爾、米開朗基羅和小安東尼奧·達·桑加羅"
"D241Q09","進階題","多納托·伯拉孟特、拉斐爾、米開朗基羅和小安東尼奧·達·桑加羅"
"D242Q01","基礎題","聖伯多祿"
"D242Q02","基礎題","1939年"
"D242Q03","進階題","聖若望拉特朗大殿、聖伯多祿大殿、聖母大殿和城外聖保祿大殿;聖若望拉特朗大殿、聖伯多祿大殿、聖母大殿和聖保祿大殿"
"D242Q04","基礎題","聖若望拉特朗大殿"
"D242Q05","基礎題","梵蒂岡"
"D242Q06","基礎題","聖伯多祿大殿"
"D243Q01","基礎題","23,000平方米"
"D243Q02","基礎題","60,000人;六萬人;6萬人"
"D243Q03","基礎題","耶穌"
"D243Q04","基礎題","聖伯多祿（西門彼得）;聖伯多祿;西門彼得"
"D243Q05","基礎題","1506年4月18日"
"D243Q06","基礎題","1626年11月18日"
"D244Q01","基礎題","尼祿馬車競技場;馬車競技場"
"D244Q02","基礎題","拉丁十字形狀;十字形狀;十字;拉丁十字"
"D244Q03","基礎題","君士坦丁大帝"
"D244Q04","基礎題","典型羅馬聖殿風格;羅馬聖殿風格"
"D244Q05","基礎題","三千至四千;三千至四千名信徒;四千名信徒;四千人"
"D244Q06","基礎題","5個"
"D245Q01","基礎題","1506年"
"D245Q02","基礎題","1626年"
"D245Q03","進階題","20年"
"D245Q04","進階題","五位;5位"
"D245Q05","申論",""
"D246Q01","基礎題","阿拉伯聯合大公國"
"D246Q02","基礎題","杜拜"
"D246Q03","基礎題","哈里發塔;哈利法塔"
"D246Q04","基礎題","828公尺"
"D246Q05","基礎題","828公尺"
"D246Q06","基礎題","828公尺;2,717英尺"
"D246Q08","進階題","4.9公尺"
"D246Q09","基礎題","5年"
"D247Q01","基礎題","509.2公尺"
"D247Q02","基礎題","世界高層建築與都市人居學會（CTBUH）;世界高層建築與都市人居學會"
"D247Q03","基礎題","540公尺"
"D247Q04","基礎題","628.8公尺"
"D247Q05","基礎題","509.2公尺"
"D247Q06","進階題","美國KVLY電視塔"
"D247Q07","進階題","88.8公尺"
"D247Q08","進階題","6年"
"D247Q09","進階題","828公尺;828.2公尺"
"D248Q01","基礎題","廣州周大福金融中心;周大福金融中心"
"D248Q03","進階題","21公尺"
"D248Q04","進階題","1260公尺"
"D248Q05","基礎題","KVLY-TV天線塔"
"D248Q06","進階題","華沙電台廣播塔"
"D248Q08","進階題","美國KVLY天線塔;KVLY天線塔;KVLY-TV天線塔"
"D248Q09","進階題","75.5公尺"
"D249Q01","基礎題","伊斯蘭教"
"D249Q02","進階題","美國、韓國、中國、比利時與阿聯"
"D249Q03","基礎題","美國SWA;SWA"
"D249Q04","基礎題","美國SWA;SWA"
"D249Q05","基礎題","亞德里恩·史密斯"
"D249Q06","基礎題","芝加哥建築事務所SOM建築設計事務所;SOM建築設計事務所"
"D309Q01","基礎題","2019/9/27;9月27日"
"D309Q03","進階題","2,600元;2600元"
"D309Q04","基礎題","02-7709-8801"
"D309Q05","進階題","臨櫃、郵寄及線上申請;臨櫃、郵寄方式及線上申請;臨櫃、郵寄及單身婚育租金補貼網站線上申請;洽租賃所在地的地方政府申請辦理、郵寄及線上申請;洽租賃所在地的地方政府申請辦理、郵寄方式及線上申請;洽租賃所在地的地方政府申請辦理、郵寄方式及單身婚育租金補貼網站線上申請"
"D309Q06","基礎題","2萬4,000戶"
"D310Q01","基礎題","惡性腫瘤"
"D310Q02","進階題","惡性腫瘤、心臟疾病及肺炎"
"D310Q03","基礎題","80.63歲"
"D310Q04","基礎題","惡性腫瘤"
"D310Q05","進階題","民國70年;70年"
"D310Q06","進階題","民國96年;96年"
"D310Q07","進階題","民國102年;102年"
"D311Q01","基礎題","阮青河"
"D311Q02","基礎題","越南河內國家大學;河內國家大學"
"D311Q03","基礎題","法文系"
"D311Q04","基礎題","越南"
"D311Q05","基礎題","國立成功大學;成功大學"
"D311Q07","進階題","17年"
"D311Q09","基礎題","越語講師;講師"
"D312Q01","進階題","2.1歲"
"D312Q02","進階題","6.5歲"
"D312Q03","進階題","6.5歲"
"D312Q04","進階題","女性;女"
"D312Q05","進階題","日本"
"D312Q06","進階題","瑞士"
"D312Q07","進階題","日本"
"D312Q08","進階題","女性;女"
"D312Q09","進階題","否"
"D313Q01","基礎題","「從消除死角做起」、「從守望相助著手」和「從消除雜物動手」;從消除死角做起、從守望相助著手和從消除雜物動手"
"D313Q02","基礎題","「可疑狀況要認得」、「大門上鎖要記得」、「監視設備要捨得」和「滅火方法要曉得」;可疑狀況要認得、大門上鎖要記得、監視設備要捨得和滅火方法要曉得"
"D313Q03","進階題","否"
"D313Q04","進階題","是"
"D313Q05","進階題","是"
"D313Q06","進階題","否"
"D314Q01","基礎題","山域與水域;山與水域;山與水"
"D314Q02","基礎題","50歲至59歲;50至59歲"
"D314Q04","進階題","「溪河」;溪河"
"D314Q05","基礎題","夏日;夏"
"D314Q06","進階題","否"
"D314Q07","進階題","是"
"D314Q08","進階題","否"
"D314Q09","進階題","否"
"D315Q01","基礎題","內政部建築研究所"
"D315Q02","進階題","L型五金鐵件、L型防震消能片、鏈條安全帶、伸縮桿、墊片及矽利康(Silicon);L型五金鐵件、L型防震消能片、鏈條安全帶、伸縮桿、墊片及矽利康;L型五金鐵件、L型防震消能片、鏈條安全帶、伸縮桿、墊片及Silicon"
"D315Q03","基礎題","加貼防爆膜;貼防爆膜"
"D315Q04","進階題","樓層、振幅及震度"
"D315Q05","進階題","否"
"D315Q06","進階題","是"
"D315Q07","進階題","L型防震消能片"
"D315Q08","基礎題","內政部"
"D315Q09","基礎題","振動台實驗;振動台"
"D318Q01","進階題","夏季與冬季;夏和冬"
"D318Q05","基礎題","1公尺以上"
"D318Q06","基礎題","A型H1N1"
"D318Q07","進階題","12月8日;2019年12月8日"
"D318Q08","進階題","12月8日;2019年12月8日"
"D318Q09","進階題","12月8日;2019年12月8日"
"D321Q01","基礎題","伊波拉病毒感染疫情;伊波拉病毒感染;伊波拉病毒"
"D321Q02","基礎題","剛果民主共和國(DRC);剛果民主共和國;DRC"
"D321Q03","申論",""
"D321Q04","申論",""
"D322Q01","進階題",""
"D322Q03","基礎題","20,585人次;20,585人;20585人;20585人次"
"D322Q05","進階題","兩者皆有"
"D322Q06","進階題","腸病毒71型"
"D322Q07","申論",""
"D322Q08","進階題","否"
"D323Q01","進階題","是"
